epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,283.916,1.43711,2.78692,1.80771,0.00443,0.92593,0.44306,0.17351,1.56202,3.50639,2.41426,0.00035007,0.00035007,0.00035007
2,526.589,1.43254,2.33274,1.77597,0.42107,0.38889,0.37557,0.20863,1.64114,2.84754,2.43908,0.000699069,0.000699069,0.000699069
3,773.916,1.4901,2.27404,1.80406,0.28287,0.66667,0.33014,0.12837,2.02832,4.51372,3.15367,0.00102991,0.00102991,0.00102991
4,1014.47,1.54023,2.16631,1.81,0.20538,0.40741,0.16727,0.05503,2.17025,6.59641,3.69438,0.00134261,0.00134261,0.00134261
5,1263.78,1.49205,2.11782,1.77725,0.26237,0.31481,0.19789,0.08186,2.15588,3.26859,3.48724,0.00150197,0.00150197,0.00150197
6,1508.42,1.45496,2.08532,1.77454,0.61252,0.11111,0.08011,0.03913,1.975,4.5022,2.89829,0.00146071,0.00146071,0.00146071
7,1741.84,1.48276,1.93122,1.73116,0.60802,0.20119,0.15827,0.06764,2.55109,4.52391,3.19341,0.00141945,0.00141945,0.00141945
8,1978.87,1.44457,1.85184,1.69767,0.54031,0.33333,0.07134,0.02516,2.34158,7.53786,3.06209,0.00137819,0.00137819,0.00137819
9,2217.56,1.46789,1.91288,1.74469,0.16817,0.55556,0.1339,0.05647,2.32131,3.44782,3.00816,0.00133693,0.00133693,0.00133693
10,2456.41,1.42214,1.76491,1.71441,0.18477,0.38614,0.12424,0.02768,2.87573,4.82895,3.49906,0.00129568,0.00129568,0.00129568
11,2705.75,1.41925,1.7291,1.66577,0.45741,0.35185,0.30639,0.118,2.18549,3.22206,3.11508,0.00125442,0.00125442,0.00125442
12,3008.55,1.44378,1.67253,1.71816,0.55869,0.61054,0.61301,0.28734,1.95186,2.27398,2.56264,0.00121316,0.00121316,0.00121316
13,3299.91,1.38747,1.63497,1.64267,0.38227,0.51852,0.34621,0.15472,1.92632,2.21143,2.56703,0.0011719,0.0011719,0.0011719
14,3586.97,1.35946,1.59244,1.65009,0.47716,0.44444,0.44609,0.17196,2.1915,2.43393,2.72101,0.00113064,0.00113064,0.00113064
15,3872.21,1.31316,1.53671,1.60709,0.60466,0.47387,0.50199,0.20838,1.91606,2.08369,2.68758,0.00108938,0.00108938,0.00108938
16,4169.58,1.27222,1.42715,1.5744,0.7105,0.55098,0.5463,0.20107,2.07162,2.23249,2.74448,0.00104813,0.00104813,0.00104813
17,4464.48,1.29696,1.451,1.57395,0.51664,0.55981,0.58017,0.24683,2.23174,1.8432,2.77801,0.00100687,0.00100687,0.00100687
18,4754.94,1.29978,1.40932,1.57717,0.50866,0.7037,0.59405,0.28466,1.78932,2.32661,2.33598,0.00096561,0.00096561,0.00096561
19,5062.53,1.26278,1.39233,1.56469,0.66144,0.33223,0.32837,0.11311,2.385,2.62463,2.93456,0.000924352,0.000924352,0.000924352
20,5967.15,1.20687,1.29993,1.51469,0.94492,0.52785,0.7128,0.34774,1.75855,1.61869,2.45165,0.000883093,0.000883093,0.000883093
21,6250.81,1.22355,1.31623,1.49914,0.61585,0.72238,0.71708,0.34236,1.77053,1.67449,2.42409,0.000841835,0.000841835,0.000841835
22,6549.59,1.14865,1.26732,1.47544,0.79873,0.64581,0.7506,0.36064,1.73231,1.37333,2.3659,0.000800577,0.000800577,0.000800577
23,6917.2,1.17412,1.20387,1.48331,0.80004,0.62267,0.75615,0.37526,1.54324,1.28278,2.22479,0.000759318,0.000759318,0.000759318
24,7177.17,1.14851,1.1815,1.46715,0.78124,0.73953,0.7675,0.38297,1.65424,1.34037,2.28543,0.00071806,0.00071806,0.00071806
25,7400.62,1.16859,1.1847,1.4614,0.68589,0.77074,0.78856,0.36723,1.67406,1.50669,2.24393,0.000676802,0.000676802,0.000676802
26,7721.74,1.07669,1.10598,1.38848,0.79445,0.53474,0.66246,0.35205,1.67351,1.39684,2.32668,0.000635544,0.000635544,0.000635544
27,7985.27,1.11406,1.05987,1.43724,0.72652,0.68297,0.70209,0.32087,1.85958,1.49208,2.50092,0.000594286,0.000594286,0.000594286
28,8200.44,1.09806,1.07195,1.42879,0.71962,0.55473,0.70218,0.33802,1.78978,1.44559,2.40805,0.000553027,0.000553027,0.000553027
29,8701.44,1.0372,1.0053,1.38988,0.66078,0.55917,0.64179,0.32259,1.84856,1.44247,2.50266,0.000511769,0.000511769,0.000511769
30,9111.05,1.02068,1.02352,1.35693,0.70762,0.66985,0.75175,0.39293,1.56388,1.48522,2.17331,0.000470511,0.000470511,0.000470511
31,9462.1,1.00862,1.10203,1.51021,0.5933,0.75425,0.74288,0.29427,1.8208,1.73338,2.53756,0.000429253,0.000429253,0.000429253
32,9820.52,0.96476,0.95974,1.48055,0.73509,0.68098,0.75588,0.3528,1.72411,1.48283,2.37505,0.000387994,0.000387994,0.000387994
33,10177.4,0.89259,0.89538,1.40053,0.9289,0.56106,0.77948,0.4143,1.73999,1.47039,2.35544,0.000346736,0.000346736,0.000346736
34,10528.7,0.89849,0.84892,1.40905,0.73011,0.7277,0.78033,0.38722,1.64212,1.45415,2.34577,0.000305478,0.000305478,0.000305478
35,10882.4,0.83614,0.7962,1.34318,0.79652,0.6902,0.73935,0.38182,1.62981,1.37256,2.35698,0.00026422,0.00026422,0.00026422
36,11231.6,0.81088,0.75581,1.32546,0.81148,0.74801,0.83326,0.41757,1.64403,1.27113,2.33198,0.000222961,0.000222961,0.000222961
37,11575.5,0.79992,0.73548,1.31028,0.866,0.71692,0.83723,0.417,1.7037,1.26855,2.44098,0.000181703,0.000181703,0.000181703
38,11893.9,0.76151,0.70162,1.26866,0.85291,0.7079,0.79144,0.42589,1.57535,1.25228,2.29626,0.000140445,0.000140445,0.000140445
39,12230,0.73964,0.72521,1.28491,0.77942,0.88889,0.84236,0.43269,1.5713,1.211,2.28751,9.91865e-05,9.91865e-05,9.91865e-05
